Index,Distances
"[   96 25370 10392 58631  7992 47266 17809 34702 60666 61710 12428 29775
 36088 52196  1899 45551 11907 48976 66267 44577 32629 55094 62887 69864
 50227 16594 62463 50380 61564 20218 49372 43860 58090 32599 68727 64612
 21624  2055 69859 57504 13814 44392 45720 58975  6176 55086 25693 19658
 57098 21222 54167 36134  6064  3206 48404 68749  6054 56426 62252 21693
 19572 52480 58635 62591 12863 10046 31713 14684 40768 41920 21123 20834
 48501 47203 58681 50697 15646 21904 25543 55205 16319 59484 43400 47906
 39348 52670 19780  8959 44015  4358 42959 63040 61705 33988 66586 52525
 50614 23451 21169 43005]","[   0.       681.57684  703.6917   712.3826   721.43054  727.6043
  748.2333   768.3183   772.9004   776.4934   787.4141   792.26514
  813.30865  814.5453   825.5259   837.6575   838.0853   852.55206
  855.3128   859.4271   864.7514   869.51825  869.8868   872.5801
  880.48285  880.8524   881.59515  881.9598   887.83386  888.4509
  890.39264  903.3615   904.9928   907.3538   907.848    909.6736
  911.17944  912.2275   912.7683   914.8049   917.0976   923.36505
  932.5444   933.4447   934.79785  934.8904   937.48975  939.3897
  941.1737   944.4829   946.558    947.7758   955.1225   956.39215
  957.3923   958.3402   961.3038   961.66315  962.78345  964.7611
  965.1326   965.7158   967.32104  968.552    968.7621   974.9215
  975.36096  976.04456  978.2014   982.47546  982.969    985.4567
  986.2525   987.16766  988.05615  989.7166   992.9718   993.45306
  993.70874  993.8521   994.09406  995.90814  996.8536   998.37366
 1007.51874 1015.92175 1017.3746  1018.1351  1018.44934 1019.596
 1022.8211  1024.9468  1028.794   1032.3541  1032.9608  1033.4036
 1035.171   1037.1398  1038.1884  1038.445  ]"
"[   97 58305 43447 48003 30050 48021 43907 40715 14457  6573 39991 66209
 47831 34921 23967  6477 59803 14304 34075 58358 23537 50191 68985 51645
 15221 15307 59946 58201 56141 48011 23639 15341  5781 43579   823 67060
 43647  5775 27608 28054 59511 58942 46399 66248 18795 16965 18887 66245
  2043  4501 40245  5783 65059 12295 51709 22873  3003 23669 67027 39001
  6136 34151 42299  5281  8431 29777 51391 43787 43018 54093 41231 12111
 15091 51715  7918 40777 47851 68384    94 43511 23637 44699   761 32103
 60961 13393 47989 23737  6243 33766 68958 57238 66442    41 39005 10575
  5763 25731   445  9811]","[   0.     1069.1174 1071.281  1079.0385 1144.5837 1182.371  1199.0634
 1202.4022 1204.0365 1218.559  1220.4208 1227.7288 1230.4463 1234.0952
 1236.9264 1237.6473 1239.3691 1239.5048 1243.4778 1249.7992 1252.3314
 1256.9658 1257.2959 1260.9409 1264.169  1269.6531 1272.7129 1273.8387
 1277.5461 1278.9089 1282.0304 1291.3191 1292.4225 1298.5422 1302.3628
 1302.5548 1305.0958 1305.601  1308.6913 1310.5728 1311.4789 1314.6205
 1315.9586 1316.2043 1317.1868 1318.4642 1319.4336 1326.0018 1329.0022
 1329.8281 1330.1045 1333.0143 1334.033  1334.7509 1335.7122 1338.1068
 1342.3628 1343.6562 1343.7113 1346.6514 1346.7594 1347.6205 1348.036
 1349.8726 1354.0746 1355.3527 1358.1337 1360.0139 1361.2656 1363.5264
 1365.3512 1367.0447 1368.9003 1370.0186 1372.4147 1372.5597 1372.89
 1376.2072 1376.3041 1379.5162 1380.9431 1385.8308 1386.9935 1388.206
 1388.7156 1389.4243 1389.561  1390.0432 1391.3425 1392.0144 1392.2435
 1392.8837 1397.9163 1400.8744 1401.9386 1402.2047 1403.2897 1405.7955
 1405.9452 1408.3259]"
"[   98 48978 58449 17104 26526 15533 44557 36458 15936 54655 12814 64770
 32284 51837  9786  6667 69882 21018 31636  7613 42284    74 62255  9059
 32913  6632 53447 54088 27534  8568 18919  5432 48291 15181 21647 62076
 12968 34390 37022  5160 54406 67675 63177 58640 56820 40490 50717 58411
 45264 24336 37566 48426 39140 35542 58412  2786 38368 51486 22946 23810
 54060 59828  8494 67674 18742 57920 50374 11021 25174 53480 26209 12312
 13288 58721 15535 52676 21570 52027  6282 26644 54291 44522  8808  8907
 42054 37166 11244  1218  7463 18626 57897 54339 34203  1474 66624 13660
 60076 50809 11752 53560]","[   0.       796.5896   848.3755   918.8324   926.1231   952.5251
  966.99585  968.02637  977.28705  982.29626 1025.7212  1035.0387
 1042.5349  1051.5764  1056.2732  1059.3041  1065.0137  1066.8491
 1091.0697  1094.2938  1094.9767  1106.9689  1108.1399  1132.3519
 1135.8015  1143.8396  1145.3855  1152.3602  1155.5242  1155.7379
 1157.5979  1167.6206  1172.9923  1175.4434  1180.1584  1180.488
 1183.0757  1183.5658  1185.723   1187.5516  1188.3013  1189.5457
 1189.9298  1197.5078  1197.8047  1198.7201  1207.9503  1211.126
 1213.2708  1215.6172  1220.2754  1223.5122  1225.9017  1226.5851
 1227.4469  1228.7323  1232.4463  1232.7855  1233.1558  1233.1991
 1242.0765  1244.9353  1245.1547  1249.96    1253.8617  1255.4999
 1256.3416  1259.981   1260.9797  1261.4753  1261.6366  1261.9188
 1263.7646  1266.7671  1270.9375  1271.6033  1271.8895  1274.4772
 1277.5524  1277.9698  1282.1119  1282.4473  1284.489   1285.0845
 1285.4136  1287.1212  1288.3121  1289.3956  1289.4521  1290.4177
 1290.8822  1291.3516  1294.4829  1297.8131  1301.4346  1304.3405
 1304.3826  1304.4263  1307.085   1309.7389 ]"
"[   99  1081 29227 24863  5833 44089 68905  7149 58033 53049 66556  7185
  3045 63852 22735 69845  3487 10007 31537 63092 60907 34945 35197 15612
 29840 24619 31427 40359  1627 25003 23291   455  3551  3797  5667 68892
 64563 45087 24933 55417 47216 49852  4445 25876 17433 58685 10601 30711
 48989 18568 16509  2994 50498 13643 42071  6372 15493 14196 38235 40831
 53409 65406 13379 58618 11043 30031  5428 56007 17429 59176 24397  5655
 66278 29673 40315 50400  1463 55499 55324  1095 65052 20875 66678 49667
  5643 43033  4407 57997 65460  2047 47977 53791 48993 53599  5601  4993
 17771 55707 52205 65477]","[  0.      573.1928  573.3245  599.69324 607.2784  632.29974 633.3419
 634.3138  640.89233 645.6663  652.2684  652.2982  654.9221  680.44543
 686.2449  688.024   689.63684 690.62506 697.3507  700.5105  704.1044
 704.651   706.5713  711.9698  716.7887  717.1004  720.9258  722.9979
 728.70984 730.8345  732.5435  739.3693  746.465   750.5944  751.4147
 751.45593 753.6292  753.7652  757.7255  758.803   762.77454 764.2284
 765.5547  766.1338  766.7751  767.0378  767.70764 768.18225 770.148
 771.737   771.9145  772.90424 773.50696 774.5431  777.2876  778.0617
 780.5639  782.4097  782.74133 784.63434 785.2554  787.86676 788.77563
 791.767   792.1061  792.614   793.7972  794.82263 795.5973  797.1587
 800.57916 801.23157 801.8441  801.88837 802.278   802.6207  805.2099
 806.49677 808.47015 809.611   811.029   812.94836 813.6209  813.8655
 814.60236 815.4416  816.4178  816.6523  817.2894  817.9071  818.887
 819.07446 819.59564 821.67206 822.4075  822.4542  823.1209  824.2955
 824.7539  827.3306 ]"
"[  100 46102 60182 33866 11790 61414 14214 32822 53096 14486 64798 45562
 12110 41566 24608 51298 39516  9075  6264 29803 17794 29891 42232 15238
 31158 55838 41218 35654 53054 48156  2220 44800 41134  7232 54778 52122
  6188 50431 52364   470 52060 28762  5440 17001  4614 62995 25738 11238
 12868 23400  8518  4712 28178 45034 32614 17811 24504 41618 20210 35420
 30012 36059  9320 32302  2250  9330 32360 49658 61039 35915 15548 48388
  8726 60779 14142 28608 28570 22428 42290 60797 60944 37502 17198 53433
  4596 31702 36686 13948 40064 41610 64259 10284 12833  9228 56024 46976
 37688 35326 56468 34340]","[   0.     1408.1626 1437.6046 1460.9066 1488.3545 1490.843  1494.2004
 1506.3575 1530.9102 1534.2728 1534.7361 1544.1027 1553.3577 1592.8368
 1594.5206 1594.6348 1596.8958 1603.3914 1607.8392 1615.8224 1620.0194
 1622.152  1624.1644 1627.2576 1629.3446 1633.5452 1636.1807 1638.845
 1643.4218 1643.5435 1648.9045 1649.7087 1651.1008 1658.7191 1664.4807
 1664.9255 1665.1321 1665.9088 1668.1561 1668.2823 1669.121  1670.807
 1671.578  1674.3002 1676.6106 1679.9447 1680.8608 1684.2482 1685.9979
 1687.5667 1688.8292 1689.9283 1691.7719 1696.7009 1698.4529 1698.8634
 1700.6664 1701.0006 1703.3511 1703.9634 1706.1471 1706.468  1706.7246
 1707.5116 1708.561  1709.4879 1710.7876 1710.7986 1711.0964 1716.8751
 1718.2723 1720.9073 1720.9384 1722.5696 1723.1871 1725.5924 1727.5378
 1728.223  1730.1492 1730.391  1732.0199 1732.2673 1733.5092 1736.7325
 1737.3655 1738.1643 1738.6138 1738.7648 1738.8945 1740.4177 1741.1183
 1742.1716 1742.4276 1743.6233 1743.9241 1744.5919 1745.294  1745.3945
 1746.25   1749.1078]"
"[  101 31207 15718 37471 11525 16143 19493 32844 19259 58383 34935 27709
 18315 67513 30759 65097 11185 23941 66452 68391  4173  4303 40415 51859
 68403 35225 42748 58977 19327 45469 34751 27635  3721 31291 43213 19527
 58624 10590  5663 43719 19409 59560   632 48221 51927 66441 32095  4571
   193 42011 40193  2575  3731  4141 34633 33307 55613 66243 54365 45483
 42282 47893 30713 38943 52071  5657 59703 29103 57255  3769 57549 21459
  5280 21050  8068 59592 28783 59003 59554 68767 28542 68203 52302    91
 16369 51707 21293 17183 69546 21313 40242 32099 47809 25201 51971 59856
 37775 63692 66269 50488]","[   0.     1096.0502 1169.1056 1172.8163 1186.679  1226.0363 1228.8661
 1237.4005 1238.6036 1247.7043 1258.9163 1260.1996 1267.3816 1267.7728
 1279.1915 1281.1744 1288.3011 1306.3687 1323.2272 1340.8699 1341.0626
 1346.8961 1347.2123 1347.6958 1348.8684 1371.2542 1372.9603 1376.1432
 1377.8878 1382.6926 1386.2255 1389.8651 1398.8252 1406.0245 1411.6083
 1414.6311 1416.8468 1420.7772 1421.5945 1427.4897 1428.3441 1437.8679
 1439.3464 1446.5369 1449.3727 1457.2117 1458.202  1461.5095 1462.4893
 1472.2697 1473.0577 1473.2219 1474.9563 1475.0807 1475.8225 1479.8608
 1482.0222 1486.0599 1490.6066 1490.8269 1498.4161 1498.8572 1500.181
 1501.9811 1506.7754 1513.1692 1514.0502 1518.2625 1518.6797 1518.6942
 1520.0563 1520.5002 1523.0505 1523.8231 1525.9718 1528.4492 1528.9719
 1529.1572 1529.9686 1537.257  1538.0923 1539.7938 1540.5662 1540.8679
 1542.0035 1544.8401 1545.057  1549.3196 1549.8623 1550.2755 1560.9958
 1561.4567 1562.4343 1562.4349 1562.9904 1564.0061 1564.2123 1564.9729
 1565.337  1565.5516]"
"[  102 34531 65893 28964 28000  3954  1822 56688  7020 33556 48074 63419
 31332 56114 16674  2318 32675 53467 48126 16608 36490 53726 32886 51529
 12590 41055 53018 57014 49260 63268 64249 30225 57722 56241 61329 22642
  3212 37629 20802 42974 57222 26070 37716 42486 64450 61038 26598 18442
 41884  7138 30335 44745 16656 61715  8506  3230 63669 29556 31592 32246
 31384 14900 28018 17695 35761 53040  9906 15392  2225 38328 32705 12154
 10110 61835 31084  4202 31848 36864 51439 61189 24966 34222 35496 63532
  9734 28318 63777 27242  8542 22896 39012 15888 51772 64977 56764 62704
 37659 17254  8984 61368]","[  0.      317.58936 374.6692  375.35318 393.6064  406.13544 413.44528
 416.73373 425.05646 427.04684 430.87585 437.71796 438.63654 445.17523
 446.45715 455.89252 455.9035  458.6818  458.81696 459.2668  470.32437
 470.35626 473.44482 474.30475 477.42642 479.08246 483.0559  485.74274
 497.04727 497.89355 498.4877  499.3666  501.1816  502.79022 506.4662
 506.50073 507.20016 509.8392  512.04297 519.6172  526.702   527.44666
 529.1191  530.9322  531.03674 536.07275 536.4597  539.8324  540.6108
 541.4859  542.3514  543.85754 546.6114  547.5938  549.6299  550.4752
 553.19977 553.4943  554.5719  557.0862  559.7732  560.7825  563.76855
 563.82446 564.0027  564.35187 565.0602  565.45294 571.74384 571.9965
 572.588   574.82605 575.29034 577.23566 577.7638  583.99146 584.45874
 587.7908  589.58887 591.2436  591.3662  592.08954 595.28314 597.4471
 597.6722  598.4605  598.63763 600.11664 600.39655 600.9201  601.20544
 601.65686 603.15173 604.9248  604.99585 608.7224  609.1814  609.18304
 610.69385 611.7287 ]"
"[  103 43990 45489 14088  1687 27717 11854 11757  1747 16842 21478 17443
 53962 46084 69543 15331 10077 23246 67189 51691 58125  8107 10063 57181
 39053 59504 65114 45200 48709 57372 69935 53333 29099 54632 11207 30677
 57365 11059 39003 54219  1639   505 15305 34673 13469 53213 69869 69864
 15469 31997 54644 15319 56983 32613 11771 24008 17017 43039   301 66640
 69909 40222 27166 69957 39760 63423 55113 57137 34941 51229 57866 21367
 11329 10148  5519 43821 25642 55117 25581 43019  2142 22342 27827  7959
 44505 41601  5569 30504 42977 59182  5651 11763  3283 27058 19257  7809
 59733  3343 63161 13479]","[   0.       653.86694  659.8651   697.8187   731.23047  756.283
  764.49066  789.981    843.88153  851.821    863.90393  867.61395
  872.04474  882.07764  888.15765  904.07745  924.2175   931.15894
  934.39606  936.32367  939.0538   951.18713  954.5554   980.0831
  985.2837   985.4258   987.96814  993.96124  994.3339   998.5249
 1002.40063 1002.4021  1004.23254 1004.3132  1004.4939  1006.0348
 1012.27515 1014.6566  1015.5949  1018.0295  1018.7831  1027.6094
 1028.8955  1033.1564  1035.115   1036.085   1037.4883  1037.5013
 1040.2817  1040.409   1040.6763  1046.2959  1047.9027  1051.7006
 1055.7609  1059.699   1062.4171  1063.5779  1067.0773  1067.0928
 1068.9462  1070.4564  1070.4906  1070.5037  1072.8531  1073.8511
 1075.027   1075.0283  1075.2023  1075.73    1078.6409  1082.5918
 1086.0396  1089.7454  1090.3169  1091.2524  1094.1536  1094.2144
 1094.5927  1094.7936  1098.1748  1099.2124  1099.2206  1099.9778
 1100.5321  1105.9426  1106.2712  1106.5012  1109.8527  1110.091
 1113.3014  1114.1006  1116.6316  1117.2412  1118.4119  1119.2056
 1119.5914  1120.6007  1121.6194  1122.5742 ]"
"[  104 65970 30684 49919 64847 64170 40848 27409  2316 47268 49194 22207
 56020 12310 35008 23892 38806 62010 44368 50023 25785 25324 33398 22025
 62013 18906 48650 49154 44222 66012 42630 52136 19742 27455 54552 14725
  2688 21476 35048 14924  8422 66044 30176 20298 18070 43030 22158 61004
  1452 36924 62722 57340 19452 51188 14936 38492 27297 30104 27630 52984
 35352 63747 27457 57412 63582 64778 24848 38002 10556 23132 57268 20654
 65933 56471 22914 60145 14701 10404 27330 52416 37635 33310 50068 27201
 55286  3272 47272 42618 57969   358 35116 10220 49628 27345 56048 20135
 21574 53308 46842  2918]","[  0.      410.01584 429.8232  467.77664 468.188   486.02573 496.57425
 497.59824 503.08945 509.65283 514.7106  515.91956 519.2003  520.1394
 528.67004 531.70764 549.2677  573.2469  576.26294 579.53864 579.54376
 582.1718  583.55634 584.12415 586.09644 589.03564 599.2904  602.1163
 603.1608  606.2013  612.01715 614.13434 616.5144  624.40533 625.82904
 635.04645 636.38116 636.6938  642.92377 646.7272  649.7045  650.60815
 651.6955  652.3151  653.94574 654.4624  661.4378  662.4998  662.7986
 664.3794  667.24506 667.83453 668.86847 668.9798  676.9926  680.11835
 685.7244  688.53687 691.84753 693.41693 693.63965 701.5711  702.1887
 705.01843 705.3056  711.43866 713.0701  713.0736  713.28186 713.71704
 716.7119  716.99023 717.1374  720.6664  721.3806  723.5572  723.9006
 725.33026 726.8996  727.493   727.5988  734.7925  741.5288  742.4547
 744.44073 745.85455 747.02075 748.791   748.8311  752.4068  754.1711
 756.1581  757.2701  759.26544 762.553   762.78503 764.40173 767.5695
 768.07355 768.7867 ]"
"[  105  9457 30210 68758 20611 16259 65318  5483 65148  1181  6613 58953
 61305 29323 55175 27751 10692 59166 51035 20787 67561 16233 59820 59872
 10971 36997 63605 68745 38141 45051 58486 19167  9017  9895 31169 66430
  4577  6499   698  8903 39185 20755 10537 28629  2784 54773  5635 52807
 65036 33259 65811 33005 66108 33935 58991  3149 32334 16265 32041  8373
 17704 18801 27681 68720 17125 22815  2645 11533  5239 24771  8053 46141
 44919 20275 47817 68799 67969 23970 59806 33113 42205 53383 53301 58995
 50465 59207 40693 65361 54557  3605  4267 10409 52867 19411 28191 52615
 54753 68427 25103 27677]","[  0.      512.07715 531.3069  540.4443  568.44086 575.93665 575.94965
 585.1615  591.793   596.99164 598.63763 607.9992  632.5156  643.5728
 647.2681  651.3908  652.40173 656.71606 659.5544  665.68835 671.22577
 676.42664 676.7998  681.92303 682.5159  684.94965 685.50494 688.2717
 692.33734 692.8593  693.80835 695.6364  696.1731  696.23486 698.2113
 704.2997  705.30066 705.6444  708.87305 709.7401  709.82886 714.44666
 714.8881  715.9728  723.1819  723.59656 726.3746  728.61304 729.31134
 729.4457  730.43207 733.4473  733.5966  735.8974  737.3249  737.792
 738.5987  742.47626 745.2624  746.0168  747.15326 747.6135  749.40045
 750.5651  751.6774  752.4832  752.5856  753.8342  757.16315 760.2684
 761.6029  761.7749  764.1767  766.23627 766.69226 767.0358  768.87256
 769.28796 770.0364  770.3655  772.2273  773.1403  773.2018  777.03864
 780.7189  781.68726 783.399   783.63574 786.1622  786.95746 788.28424
 789.7316  790.2202  790.3556  792.70294 792.8165  794.48285 794.6477
 797.995   800.75275]"
"[  106 63273 36372 17416 33730  3932  4666 61108 54332 35322 34776 64022
 60021 60940 55154 28548 36590 63331 56446  6638 62831 32978 63991 24592
 61831 25104 11390 21368  1146 44666 41848 27850 62428 47774 55670 56736
 50793  4660 43348 23922  5040 17764 59583 46420 32692 30350 57138 55350
 60081 61858  5910 38156 60594 18576 21410 40356  5556 37222 15638 23356
 36881 63714  1830 62782 35918  3654  9702 42489  5145 17996 52844 34433
 61974 47018 16684 18678 28912 38114 31268  2757 54820 55512 36903 47808
 55770 57656 40862 15788  7724 31118 15314 29272 55134  9692 63923 62097
 38578 42350 24948 16032]","[   0.       845.18933  996.8094  1149.2885  1166.3618  1185.1118
 1215.9363  1257.1726  1275.5795  1280.8318  1283.473   1287.1387
 1289.1555  1293.6078  1300.5549  1304.0249  1311.3359  1313.4535
 1314.5881  1319.1781  1320.5049  1327.4585  1330.3124  1340.6155
 1345.2561  1347.2672  1347.599   1352.1472  1354.0306  1357.6348
 1365.0044  1374.6221  1374.6443  1384.0332  1394.0853  1397.544
 1399.9893  1400.0232  1405.5192  1406.6534  1408.4236  1408.9933
 1410.156   1410.7747  1412.7775  1417.7874  1420.2753  1424.3553
 1424.6385  1424.9779  1429.3726  1431.0664  1431.0822  1434.7836
 1437.2234  1438.6476  1439.4801  1439.9458  1441.5287  1445.3761
 1446.7861  1450.4827  1451.4989  1455.57    1457.6014  1458.0916
 1459.49    1459.5349  1459.7997  1460.5509  1464.279   1464.281
 1464.8955  1465.3914  1466.296   1467.2178  1469.0878  1471.2539
 1473.0248  1475.0448  1475.2017  1478.786   1478.811   1479.7854
 1480.9899  1481.6967  1484.1577  1485.8069  1487.0316  1490.3331
 1492.9869  1495.8271  1496.4037  1499.3635  1500.7131  1504.6033
 1504.6558  1504.9695  1505.9233  1506.5576 ]"
"[  107 52563 48563 67006 34127 33587 58937  3347 20561 12260   157 24299
 49645 44280 39981 67311 10902   215 24417 13445 12527 23955  9977 39189
 15339 68972  2675 20437 42073 24281  3159 38771 22977 65760 54953 38811
   321 51257 10847 12437  5433 15651 67829 67509 13859 30175  6559   235
   135 66440  8279 67326 43563 35491 23547 46145  9871 57399 59016 40051
 16243 68939 57373 13141 16861  3233 59014 69797  4199 40281 58339 58983
 51237  9915 14401 29521 29613 23527 23265 55151 43171 18955 13285 20439
 24251 40374 52543 67590 38049 66985 54849 34873  9797 12483     7  9953
 32227 20377 39181 34967]","[   0.     1121.0312 1155.8075 1218.0394 1221.878  1230.022  1233.3256
 1235.8451 1256.8751 1260.9374 1275.0824 1275.5148 1313.6659 1328.7577
 1341.6073 1342.583  1360.4889 1360.7567 1361.7372 1363.2538 1365.5588
 1367.0493 1372.8544 1373.5928 1375.0764 1381.7529 1384.6772 1385.5807
 1386.5778 1388.6846 1388.7642 1392.0596 1392.7366 1395.1033 1395.3046
 1395.5182 1397.5579 1399.8625 1401.9323 1408.2329 1408.9829 1409.7368
 1409.8152 1410.2546 1410.5609 1412.3743 1412.8783 1413.5763 1414.1093
 1425.803  1426.4113 1427.599  1428.1617 1429.2574 1434.4198 1440.3777
 1441.5117 1444.5359 1445.2145 1445.319  1446.9084 1447.8395 1451.7795
 1455.0939 1456.146  1458.0692 1458.9849 1460.2191 1468.1471 1468.6287
 1469.4323 1470.5886 1473.5012 1478.7228 1480.1359 1480.8683 1485.4932
 1486.5571 1489.8413 1491.577  1493.9385 1494.6298 1496.7732 1500.9031
 1503.3556 1504.8203 1505.5651 1506.5029 1506.5178 1507.3413 1508.0448
 1508.6815 1512.6735 1512.9094 1514.2533 1514.4226 1515.4283 1517.0972
 1517.2742 1517.4409]"
"[  108  9476 22159 44096 50324 27894 31272 36476 19915 47976 22111 37511
 60246 42224 19935 28466 45522 45165  4344 39874 13764 50924  6802 56950
 17462 30187 12142 51150 48532 57154 65603 43236 20010 21614 37432 42610
  1028 57186 45315 22143 25518 63849 27380 55680 31904  7062  3632 18486
 12414    68 31716 16460 34197   464 61271 28044 63170 46812 25542 37554
 21506 52204 31857 26176 25714 55408 63734 53038 46680 14629 33228  8050
 35708 30370 51108 42862 55556 51533 35408 51505 64082 63735 45129  2745
 57408 40042  4218 21874 31116 40286 58879 62568 20174 62932 21890   249
 63790 29148 19899 27492]","[   0.     1082.3821 1198.4481 1290.5157 1411.3557 1439.2648 1484.6841
 1487.9496 1509.7676 1516.1411 1523.5541 1540.4655 1547.4628 1558.2817
 1585.804  1586.7732 1587.688  1587.886  1591.9799 1596.9606 1600.5702
 1609.654  1612.2023 1621.5782 1629.1154 1629.3892 1630.984  1639.7421
 1642.5858 1646.2014 1651.1881 1655.2737 1664.0189 1674.3138 1679.0906
 1679.1191 1683.0692 1687.7139 1701.8684 1702.1404 1706.7275 1709.2007
 1713.3208 1715.3085 1719.2242 1722.5386 1734.0049 1735.104  1735.1628
 1735.6727 1736.8762 1744.567  1748.1069 1751.338  1754.2291 1762.1737
 1763.2311 1763.4304 1766.3228 1767.2864 1773.6846 1780.6016 1784.3337
 1786.7974 1801.3015 1805.203  1805.493  1806.6693 1807.3163 1809.668
 1810.2094 1813.5226 1815.6844 1819.6415 1819.795  1826.521  1833.0022
 1834.462  1834.7256 1838.281  1839.9869 1840.2168 1846.0171 1846.9586
 1847.2937 1847.5984 1850.1786 1853.0312 1854.6334 1858.1372 1858.6592
 1867.0682 1867.0927 1867.1824 1872.3835 1878.8579 1879.1714 1882.5708
 1883.6666 1885.3451]"
"[  109 42513 29839 24238 64876 24485 27189 22353 42439 23325 24517 23099
 56427 51320 35110 22852 16209 34479 17039 66418 18845 68492 61224 56263
 39627 32485 66912  6633 31635 39561 56847 18998 27880 14113 26994 29967
  1852  6933 18972 55011 19843 42206 49425 64985 27791  8833 42188 57503
 60646  3676  9031 19466 64547  6348 32787 58135 20967  4701 30596 64751
  4469 24939  4649 60300 39487  8810 21414 16027 14043 46001 59737 29588
 32382 48279 44620 61722 47219 33626  2220 20077 39673 59390  9075 49083
 66480 66906 44492 57726 61465 32481 45904  8924 64987 52188 60919 46976
 12560 23020 49041 47242]","[   0.     1217.651  1347.8906 1379.3861 1417.2484 1421.827  1423.956
 1424.4624 1427.1272 1460.302  1468.709  1478.5868 1486.3129 1522.4569
 1529.8679 1582.5767 1587.8511 1588.7587 1589.8173 1595.4303 1609.9622
 1632.7517 1649.8857 1650.8223 1653.1597 1653.1893 1667.0317 1667.469
 1668.0074 1677.0715 1685.9602 1695.6058 1700.738  1704.4906 1706.2046
 1709.9518 1718.598  1725.8505 1743.6814 1750.1614 1751.673  1751.9019
 1752.6823 1755.2653 1756.238  1759.9548 1763.1886 1767.0919 1769.4586
 1772.4215 1776.7048 1782.1316 1783.048  1790.312  1795.3693 1797.4401
 1817.0344 1820.7603 1823.4468 1824.9498 1828.5029 1829.0577 1829.3203
 1831.8788 1832.2664 1834.943  1835.2983 1836.0615 1840.0397 1840.6311
 1842.1176 1847.5933 1853.9641 1859.0427 1860.0836 1861.4596 1863.4382
 1864.8134 1866.9271 1868.7849 1869.0615 1869.241  1869.6965 1874.3716
 1876.2052 1881.049  1881.6807 1882.0547 1882.9713 1883.6722 1883.8232
 1884.9396 1885.3225 1890.8683 1893.1859 1895.0156 1895.9209 1899.9205
 1901.3577 1904.1072]"
"[  110  5350 25432 63190 61304 39174 26282 40302   932 28754 15029 21724
 49898 38031  9642 53126 16020 25280 53882 46645 62908  5008 31364 60662
 22216 19806  4350 30328 29502 25446 18786 49492 18828  4568 56760 27397
 24420 66409 55464 19718 34335 33862 37376  7492 41840 27450 46168 16132
 64095 20202 46238 29426 42400 17708  4244 13032 27334 29878 21906 18415
 63999  5522 22110 52356 36832 43358 30694 29492 46802 63168 46866 69472
 37611  2640 52424 32260 34321 59765 11474  1984 37002 39588 15658 35741
  3302 19992 16738 20546 65968 33712 10794 15124  8308 48265 60284 52500
 61428 17152  2060 65704]","[   0.     1045.4559 1100.9015 1159.7802 1207.2473 1217.4252 1230.2671
 1235.1818 1238.7288 1243.3604 1247.5869 1259.2374 1263.4564 1277.1797
 1278.6837 1286.4086 1317.4103 1323.5011 1328.0331 1331.5221 1340.3284
 1342.6705 1343.0127 1345.2524 1353.9236 1354.5741 1359.3071 1360.1371
 1362.9736 1363.2935 1367.0977 1367.3036 1372.7982 1377.0454 1377.6941
 1379.6615 1383.5458 1388.4642 1391.0956 1392.3046 1392.626  1395.3573
 1395.9921 1401.2216 1403.3424 1404.3533 1404.4896 1407.4171 1414.7078
 1415.5176 1417.4629 1418.2778 1430.5216 1430.9531 1432.33   1434.1405
 1434.358  1436.1842 1436.9513 1440.9889 1442.9269 1443.5657 1446.001
 1447.397  1448.2303 1454.402  1457.859  1460.4156 1463.9686 1465.563
 1467.3184 1469.0613 1469.1123 1469.6874 1471.4282 1472.003  1476.3899
 1476.845  1477.0985 1478.7637 1482.0168 1482.4388 1483.0063 1483.5751
 1483.7389 1485.262  1488.9651 1489.7101 1494.6849 1495.9565 1496.7618
 1498.7645 1499.0914 1499.9033 1500.5376 1500.5515 1500.9883 1501.9474
 1502.3867 1504.1213]"
